	category	country	country_short	lang	lang_short	name	region	subject	text	type	url	lat_lon
0	National	Brazil	BR	Portuguese	pt	clicfolha	South America	General News	Clic Folha	webnews	https://clicfolha.com.br/	(-10.3333333, -53.2)
1	National	Georgia	GE	English	en	cbw	Asia	General News	cbw	webnews	https://cbw.ge/	(41.6809707, 44.0287382)
2	National	Indonesia	ID	English	en	nationalgeographic-id	Asia	General News	National Geographic Indonesia	webnews	https://nationalgeographic.grid.id/	(-2.4833826, 117.8902853)
3	Local	Italy	IT	Italian	it	newsbiella	European Union	General News	news Biella	webnews	http://www.newsbiella.it	(42.6384261, 12.674297)
4	National	Italy	IT	English	en	besustainablemagazine	European Union	General News	BE Sustainable	webnews	http://www.besustainablemagazine.com/	(42.6384261, 12.674297)
5	National	Netherlands	NL	English	en	cbs	European Union	General News	cbs	webnews	https://www.cbs.nl/	(50.8936079, 5.9703555)
6	National	USA	US	English	en	cbp	North America	General News	cbp	webnews	https://www.cbp.gov/	(44.3302901, -75.9367198)
7	National	USA	US	English	en	thebureauinvestigates	North America	General News	migration NGO - The Bureau of Investigative Journalism	webnews	https://www.thebureauinvestigates.com/	(39.7837304, -100.4458825)
8	Local	Italy	IT	Italian	it	corrieremarittimo	European Union	General News	Corriere Marittimo	webnews	https://www.corrieremarittimo.it	(42.6384261, 12.674297)
9	National	Ukraine	UA	Russian	ru	vecherniy	Europe Other	General News	Vecherniy	webnews	http://vecherniy.kharkov.ua/	(49.4871968, 31.2718321)
10	National	Hungary	HU	Hungarian	hu	sztaki	European Union	General News	sztaki	webnews	https://www.sztaki.hu/	(47.4775999, 19.051648394404896)
11	National	United Kingdom	GB	English	en	nature-npjmatdeg	Europe Other	General News	Nature - npj Materials Degradation	webnews	https://www.nature.com/npjmatdeg/	(54.7023545, -3.2765753)
12	International	Indonesia	ID	Indonesian	id	antarajateng	Asia	General News	ANTARAJATENG	webnews	http://www.antarajateng.com/	(-2.4833826, 117.8902853)
13	National	Germany	DE	German	de	saarbruecker-zeitung	European Union	General News	Saarbrücker Zeitung	webnews	http://www.saarbruecker-zeitung.de	(49.21299665, 6.982746050000001)
14	International	USA	US	English	en	cameroonpostline	North America	General News	Cameroon Post line	webnews	http://www.cameroonpostline.com/	(39.7837304, -100.4458825)
15	National	Armenia	AM	Armenian	hy	galatv-am	Asia	General News	galatv	webnews	https://galatv.am/hy/	(40.7696272, 44.6736646)
16	National	Slovakia	SK	Slovak	sk	cas	European Union	General News	ČAS	webnews	https://www.cas.sk/	(48.1477115, 17.1453036)
17	National	Denmark	DK	Danish	da	videnskab	European Union	General News	Nyheder om forskning og videnskab	webnews	https://videnskab.dk/	(55.670249, 10.3333283)
18	National	Ecuador	EC	Spanish	es	confirmado	South America	General News	Asamblea Nacional del Ecuador	webnews	http://www.confirmado.net/	(-0.2131572, -78.49883119218853)
19	National	Lithuania	LT	Lithuanian	lt	znadwilii	European Union	General News	Radio Znad Wilii	webnews	http://zw.lt/	(55.3500003, 23.7499997)
20	International	Russia	RU	English	en	carnegie-ru-en	Asia	General News	Carnegie Moscow Center - English	webnews	http://carnegie.ru/?lang=en	(64.6863136, 97.7453061)
21	National	Italy	IT	Italian	it	finanzaonline	European Union	General News	Finanza online	webnews	https://www.finanzaonline.com/	(42.6384261, 12.674297)
22	National	Luxemburg	LU	Luxembourgish	lb	tageblatt-lu	European Union	General News	Tageblatt (Luxembourg)	webnews	http://www.tageblatt.lu/	(49.8158683, 6.1296751)
23	National	Sweden	SE	Swedish	sv	norran	European Union	General News	Norra Västerbotten	webnews	https://www.norran.se/	(64.2825306, 20.49611410000829)
24	National	Germany	DE	German	de	com-magazin	European Union	General News	Computer magazin	webnews	http://www.com-magazin.de/	(49.274038250000004, 6.950921499999998)
25	National	Poland	PL	Polish	pl	biznesalert	European Union	General News	BiznesAlert	webnews	http://biznesalert.pl/	(52.0189912, 19.19558554308718)
26	National	Ukraine	UA	Russian	ru	lifedon	Europe Other	General News	lifedon	webnews	http://lifedon.com.ua/	(49.4871968, 31.2718321)
27	National	Denmark	DK	Danish	da	altinget	European Union	General News	altinget	webnews	https://www.altinget.dk/	(56.790651, 9.332729)
28	National	Germany	DE	German	de	polizei-bayern	European Union	General News	Polizei Bayern	webnews	https://www.polizei.bayern.de/	(48.2628317, 11.427025695003902)
29	National	United Kingdom	GB	English	en	thetelegraphandargus	Europe Other	General News	Bradford Telegraph and Argus	webnews	http://www.thetelegraphandargus.co.uk/	(54.7023545, -3.2765753)
30	International	USA	US	English	en	unocha	North America	General News	OCHA - Office for the Coordination of Humanitarian Affairs	webnews	http://www.unocha.org	(39.7837304, -100.4458825)
31	National	France	FR	French	fr	nationalgeographic-fr	European Union	General News	National geographic France	webnews	https://www.nationalgeographic.fr/	(46.603354, 1.8883335)
32	National	Italy	IT	Italian	it	terninrete	European Union	General News	Terni in rete	webnews	http://www.terninrete.it/	(42.6384261, 12.674297)
33	National	Botswana	BW	English	en	thezambezian	Africa	General News	The Zambezian	webnews	https://www.thezambezian.com/	(-23.1681782, 24.5928742)
34	Regional	United Kingdom	GB	English	en	regionalstudies	Europe Other	General News	Home - RSA Main	webnews	https://www.regionalstudies.org/	(53.480867849999996, -2.2402758999308316)
35	National	USA	US	English	en	phys	North America	General News	Phys	webnews	https://phys.org/	(44.9753156, -93.23445113385417)
36	National	Russia	RU	Russian	ru	newtimes	Asia	General News	The new times	webnews	http://newtimes.ru/	(60.0033103, 30.2022123)
37	National	Germany	DE	English	en	bosch	European Union	General News	Robert Bosch	webnews	https://www.bosch.com/	(48.6640628, 7.9425927)
38	National	Czech Republic	CZ	English	en	regiony-impuls	European Union	General News	Regionální zprávy	webnews	http://regiony.impuls.cz/	(49.8167003, 15.4749544)
39	National	Kuwait	KW	Arabic	ar	al-seyassah	Middle East	General News	Al-seyassah	webnews	http://al-seyassah.com/	(29.2733964, 47.4979476)
40	Regional	Italy	IT	Italian	it	primonumero	European Union	General News	Primo Numero	webnews	https://www.primonumero.it/	(45.8741567, 7.4020154)
41	National	Denmark	DK	English	en	shippingwatch-en	European Union	General News	ShippingWatch - English	webnews	https://shippingwatch.com/	(55.670249, 10.3333283)
42	National	USA	US	English	en	slashdot	North America	General News	slashdot	webnews	http://slashdot.org	(39.7837304, -100.4458825)
43	National	Turkey	TR	Turkish	tr	turkiyegazetesi	EU Candidate	General News	Türkiye Gazetesi	webnews	http://www.turkiyegazetesi.com.tr/	(41.2867225, 27.997638)
44	National	Bulgaria	BG	English	en	focus-news-en	European Union	General News	Focus news (english)	webnews	http://www.focus-fen.net/	(42.6073975, 25.4856617)
45	National	Brazil	BR	Portuguese	pt	tribunadabahia	South America	General News	Tribuna da Bahia	webnews	http://www.trbn.com.br/	(-17.6168545, -39.8648791)
46	Regional	Italy	IT	Italian	it	lagazzettadelmezzogiorno	European Union	General News	La Gazzetta del Mezzogiorno	webnews	http://www.lagazzettadelmezzogiorno.it/	(41.118495, 16.8711221)
47	National	Lithuania	LT	Lithuanian	lt	ukzinios	European Union	General News	ukzinios	webnews	https://www.ukzinios.lt/	(55.3500003, 23.7499997)
48	International	Vietnam	VN	English	en	chinhphu	Asia	General News	VGP News EN	webnews	http://news.chinhphu.vn/	(13.2904027, 108.4265113)
49	National	Croatia	HR	Croatian	hr	poduzetnistvo	European Union	General News	poduzetnistvo	webnews	http://www.poduzetnistvo.org/	(45.8011514, 15.9440001)
50	National	Nigeria	NG	English	en	onlinenigeria	Africa	General News	Online Nigeria	webnews	http://www.onlinenigeria.com/uk/	(9.6000359, 7.9999721)
51	National	Sweden	SE	Swedish	sv	laholmstidning	European Union	General News	Laholms Tidning	webnews	https://laholm.lokaltidningen.se/	(59.6749712, 14.5208584)
52	National	Ireland	IE	English	en	longfordleader	European Union	General News	Longford Leader	webnews	http://www.longfordleader.ie/	(52.865196, -7.9794599)
53	National	Brazil	BR	Portuguese	pt	capital-sp-gov-br	South America	General News	Prefeitura de São Paulo	webnews	http://www.capital.sp.gov.br/	(-23.7005224, -46.6971701)
54	National	Ireland	IE	English	en	midlandtribune	European Union	General News	Midland Tribune	webnews	http://www.midlandtribune.ie/	(52.865196, -7.9794599)
55	National	Brazil	BR	Portuguese	pt	odocumento	South America	General News	O Documento	webnews	http://www.odocumento.com.br/	(-33.7378329, -53.3697144)
56	National	Ireland	IE	English	en	eecho	European Union	General News	Evening Echo	webnews	https://www.echolive.ie/	(52.865196, -7.9794599)
57	National	Hungary	HU	Hungarian	hu	magyarhirlap	European Union	General News	Magyar Hírlap	webnews	http://magyarhirlap.hu/	(47.1817585, 19.5060937)
58	National	Poland	PL	Polish	pl	onet	European Union	General News	Onet	webnews	http://www.onet.pl/	(50.0806633, 19.972639)
59	National	USA	US	Swahili (macrolanguage)	sw	un-news-sw	North America	General News	Idhaa ya Redio ya UM	webnews	https://news.un.org/sw/	(39.7837304, -100.4458825)
60	Regional	Italy	IT	English	en	pesarourbinonotizie	European Union	General News	Pesaro Urbino notizie	webnews	http://www.pesarourbinonotizie.it/	(42.6384261, 12.674297)
61	National	Greece	GR	Modern Greek (1453-)	el	e-enimerosi	European Union	General News	e-enimerosi	webnews	http://www.e-enimerosi.gr/	(38.9953683, 21.9877132)
62	National	Sweden	SE	Swedish	sv	vallentunafria	European Union	General News	Vallentunafria	webnews	https://vallentunafria.se/	(59.6749712, 14.5208584)
63	Regional	Spain	ES	Spanish	es	DiarioVasco	European Union	General News	DiarioVasco	webnews	https://www.diariovasco.com/	(39.3262345, -4.8380649)
64	National	Germany	DE	English	en	fraunhofer	European Union	General News	Fraunhofer	webnews	https://www.fraunhofer.de/en.html	(48.137846, 11.5859002)
65	National	Netherlands	NL	English	en	citylogistics-info	European Union	General News	CityLogistics - by Walther Ploos van Amstel	webnews	http://www.citylogistics.info/	(52.5001698, 5.7480821)
66	National	Greece	GR	Modern Greek (1453-)	el	elliniki-gnomi	European Union	General News	elliniki-gnomi	webnews	http://www.elliniki-gnomi.eu/	(38.9953683, 21.9877132)
