category	country	country_short	lang	lang_short	name	region	subject	text	type	url
National	Brazil	BR	Portuguese	pt	clicfolha	South America	General News	Clic Folha	webnews	https://clicfolha.com.br/
National	Georgia	GE	English	en	cbw	Asia	General News	cbw	webnews	https://cbw.ge/
National	Indonesia	ID	English	en	nationalgeographic-id	Asia	General News	National Geographic Indonesia	webnews	https://nationalgeographic.grid.id/
Local	Italy	IT	Italian	it	newsbiella	European Union	General News	news Biella	webnews	http://www.newsbiella.it
National	Italy	IT	English	en	besustainablemagazine	European Union	General News	BE Sustainable	webnews	http://www.besustainablemagazine.com/
National	Netherlands	NL	English	en	cbs	European Union	General News	cbs	webnews	https://www.cbs.nl/
National	USA	US	English	en	cbp	North America	General News	cbp	webnews	https://www.cbp.gov/
National	USA	US	English	en	thebureauinvestigates	North America	General News	migration NGO - The Bureau of Investigative Journalism	webnews	https://www.thebureauinvestigates.com/
Local	Italy	IT	Italian	it	corrieremarittimo	European Union	General News	Corriere Marittimo	webnews	https://www.corrieremarittimo.it
National	Ukraine	UA	Russian	ru	vecherniy	Europe Other	General News	Vecherniy	webnews	http://vecherniy.kharkov.ua/
National	Hungary	HU	Hungarian	hu	sztaki	European Union	General News	sztaki	webnews	https://www.sztaki.hu/
National	United Kingdom	GB	English	en	nature-npjmatdeg	Europe Other	General News	Nature - npj Materials Degradation	webnews	https://www.nature.com/npjmatdeg/
International	Indonesia	ID	Indonesian	id	antarajateng	Asia	General News	ANTARAJATENG	webnews	http://www.antarajateng.com/
National	Germany	DE	German	de	saarbruecker-zeitung	European Union	General News	Saarbrücker Zeitung	webnews	http://www.saarbruecker-zeitung.de
International	USA	US	English	en	cameroonpostline	North America	General News	Cameroon Post line	webnews	http://www.cameroonpostline.com/
National	Armenia	AM	Armenian	hy	galatv-am	Asia	General News	galatv	webnews	https://galatv.am/hy/
National	Slovakia	SK	Slovak	sk	cas	European Union	General News	ČAS	webnews	https://www.cas.sk/
National	Denmark	DK	Danish	da	videnskab	European Union	General News	Nyheder om forskning og videnskab	webnews	https://videnskab.dk/
National	Ecuador	EC	Spanish	es	confirmado	South America	General News	Asamblea Nacional del Ecuador	webnews	http://www.confirmado.net/
National	Lithuania	LT	Lithuanian	lt	znadwilii	European Union	General News	Radio Znad Wilii	webnews	http://zw.lt/
International	Russia	RU	English	en	carnegie-ru-en	Asia	General News	Carnegie Moscow Center - English	webnews	http://carnegie.ru/?lang=en
National	Italy	IT	Italian	it	finanzaonline	European Union	General News	Finanza online	webnews	https://www.finanzaonline.com/
National	Luxemburg	LU	Luxembourgish	lb	tageblatt-lu	European Union	General News	Tageblatt (Luxembourg)	webnews	http://www.tageblatt.lu/
National	Sweden	SE	Swedish	sv	norran	European Union	General News	Norra Västerbotten	webnews	https://www.norran.se/
National	Germany	DE	German	de	com-magazin	European Union	General News	Computer magazin	webnews	http://www.com-magazin.de/
National	Poland	PL	Polish	pl	biznesalert	European Union	General News	BiznesAlert	webnews	http://biznesalert.pl/
National	Ukraine	UA	Russian	ru	lifedon	Europe Other	General News	lifedon	webnews	http://lifedon.com.ua/
National	Denmark	DK	Danish	da	altinget	European Union	General News	altinget	webnews	https://www.altinget.dk/
National	Germany	DE	German	de	polizei-bayern	European Union	General News	Polizei Bayern	webnews	https://www.polizei.bayern.de/
National	United Kingdom	GB	English	en	thetelegraphandargus	Europe Other	General News	Bradford Telegraph and Argus	webnews	http://www.thetelegraphandargus.co.uk/
International	USA	US	English	en	unocha	North America	General News	OCHA - Office for the Coordination of Humanitarian Affairs	webnews	http://www.unocha.org
National	France	FR	French	fr	nationalgeographic-fr	European Union	General News	National geographic France	webnews	https://www.nationalgeographic.fr/
National	Italy	IT	Italian	it	terninrete	European Union	General News	Terni in rete	webnews	http://www.terninrete.it/
National	Botswana	BW	English	en	thezambezian	Africa	General News	The Zambezian	webnews	https://www.thezambezian.com/
Regional	United Kingdom	GB	English	en	regionalstudies	Europe Other	General News	Home - RSA Main	webnews	https://www.regionalstudies.org/
National	USA	US	English	en	phys	North America	General News	Phys	webnews	https://phys.org/
National	Russia	RU	Russian	ru	newtimes	Asia	General News	The new times	webnews	http://newtimes.ru/
National	Germany	DE	English	en	bosch	European Union	General News	Robert Bosch	webnews	https://www.bosch.com/
National	Czech Republic	CZ	English	en	regiony-impuls	European Union	General News	Regionální zprávy	webnews	http://regiony.impuls.cz/
National	Kuwait	KW	Arabic	ar	al-seyassah	Middle East	General News	Al-seyassah	webnews	http://al-seyassah.com/
Regional	Italy	IT	Italian	it	primonumero	European Union	General News	Primo Numero	webnews	https://www.primonumero.it/
National	Denmark	DK	English	en	shippingwatch-en	European Union	General News	ShippingWatch - English	webnews	https://shippingwatch.com/
National	USA	US	English	en	slashdot	North America	General News	slashdot	webnews	http://slashdot.org
National	Turkey	TR	Turkish	tr	turkiyegazetesi	EU Candidate	General News	Türkiye Gazetesi	webnews	http://www.turkiyegazetesi.com.tr/
National	Bulgaria	BG	English	en	focus-news-en	European Union	General News	Focus news (english)	webnews	http://www.focus-fen.net/
National	Brazil	BR	Portuguese	pt	tribunadabahia	South America	General News	Tribuna da Bahia	webnews	http://www.trbn.com.br/
Regional	Italy	IT	Italian	it	lagazzettadelmezzogiorno	European Union	General News	La Gazzetta del Mezzogiorno	webnews	http://www.lagazzettadelmezzogiorno.it/
National	Lithuania	LT	Lithuanian	lt	ukzinios	European Union	General News	ukzinios	webnews	https://www.ukzinios.lt/
International	Vietnam	VN	English	en	chinhphu	Asia	General News	VGP News EN	webnews	http://news.chinhphu.vn/
National	Croatia	HR	Croatian	hr	poduzetnistvo	European Union	General News	poduzetnistvo	webnews	http://www.poduzetnistvo.org/
National	Nigeria	NG	English	en	onlinenigeria	Africa	General News	Online Nigeria	webnews	http://www.onlinenigeria.com/uk/
National	Sweden	SE	Swedish	sv	laholmstidning	European Union	General News	Laholms Tidning	webnews	https://laholm.lokaltidningen.se/
National	Ireland	IE	English	en	longfordleader	European Union	General News	Longford Leader	webnews	http://www.longfordleader.ie/
National	Brazil	BR	Portuguese	pt	capital-sp-gov-br	South America	General News	Prefeitura de São Paulo	webnews	http://www.capital.sp.gov.br/
National	Ireland	IE	English	en	midlandtribune	European Union	General News	Midland Tribune	webnews	http://www.midlandtribune.ie/
